Date,^FCHI
2024-10-22,7535.10009765625
2024-10-23,7497.47998046875
2024-10-24,7503.27978515625
2024-10-25,7497.5400390625
2024-10-28,7556.93994140625
2024-10-29,7511.10986328125
2024-10-30,7428.35986328125
2024-10-31,7350.3701171875
2024-11-01,7409.10986328125
2024-11-04,7371.7099609375
2024-11-05,7407.14990234375
2024-11-06,7369.60986328125
2024-11-07,7425.60009765625
2024-11-08,7338.669921875
2024-11-11,7426.8798828125
2024-11-12,7226.97998046875
2024-11-13,7216.830078125
2024-11-14,7311.7998046875
2024-11-15,7269.6298828125
2024-11-18,7278.22998046875
2024-11-19,7229.64013671875
2024-11-20,7198.4501953125
2024-11-21,7213.31982421875
2024-11-22,7255.009765625
2024-11-25,7257.47021484375
2024-11-26,7194.509765625
2024-11-27,7143.02978515625
2024-11-28,7179.25
2024-11-29,7235.10986328125
2024-12-02,7236.89013671875
2024-12-03,7255.419921875
2024-12-04,7303.27978515625
2024-12-05,7330.5400390625
2024-12-06,7426.8798828125
2024-12-09,7480.14013671875
2024-12-10,7394.77978515625
2024-12-11,7423.39990234375
2024-12-12,7420.93994140625
2024-12-13,7409.56982421875
2024-12-16,7357.080078125
2024-12-17,7365.7001953125
2024-12-18,7384.6201171875
2024-12-19,7294.3701171875
2024-12-20,7274.47998046875
2024-12-23,7272.31982421875
2024-12-24,7282.68994140625
2024-12-27,7355.3701171875
2024-12-30,7313.56005859375
2024-12-31,7380.740234375
2025-01-02,7393.759765625
2025-01-03,7282.22021484375
2025-01-06,7445.68994140625
2025-01-07,7489.35009765625
2025-01-08,7452.419921875
2025-01-09,7490.27978515625
2025-01-10,7431.0400390625
2025-01-13,7408.64013671875
2025-01-14,7423.669921875
2025-01-15,7474.58984375
2025-01-16,7634.740234375
2025-01-17,7709.75
2025-01-20,7733.5
2025-01-21,7770.9501953125
2025-01-22,7837.39990234375
2025-01-23,7892.60986328125
2025-01-24,7927.6201171875
2025-01-27,7906.580078125
2025-01-28,7897.3701171875
2025-01-29,7872.47998046875
2025-01-30,7941.64013671875
2025-01-31,7950.169921875
2025-02-03,7854.919921875
2025-02-04,7906.39990234375
2025-02-05,7891.68017578125
2025-02-06,8007.6201171875
2025-02-07,7973.02978515625
2025-02-10,8006.22021484375
2025-02-11,8028.89990234375
2025-02-12,8042.18994140625
2025-02-13,8164.10986328125
2025-02-14,8178.5400390625
2025-02-17,8189.1298828125
2025-02-18,8206.5595703125
2025-02-19,8110.5400390625
2025-02-20,8122.580078125
2025-02-21,8154.509765625
2025-02-24,8090.990234375
2025-02-25,8051.06982421875
2025-02-26,8143.919921875
2025-02-27,8102.52001953125
2025-02-28,8111.6298828125
2025-03-03,8199.7099609375
2025-03-04,8047.919921875
2025-03-05,8173.75
2025-03-06,8197.669921875
2025-03-07,8120.7998046875
2025-03-10,8047.60009765625
2025-03-11,7941.91015625
2025-03-12,7988.9599609375
2025-03-13,7938.2099609375
2025-03-14,8028.27978515625
2025-03-17,8073.97998046875
2025-03-18,8114.56982421875
2025-03-19,8171.47021484375
2025-03-20,8094.2001953125
2025-03-21,8042.9501953125
2025-03-24,8022.330078125
2025-03-25,8108.58984375
2025-03-26,8030.68017578125
2025-03-27,7990.10986328125
2025-03-28,7916.080078125
2025-03-31,7790.7099609375
2025-04-01,7876.35986328125
2025-04-02,7858.830078125
2025-04-03,7598.97998046875
2025-04-04,7274.9501953125
2025-04-07,6927.1201171875
2025-04-08,7100.419921875
2025-04-09,6863.02001953125
2025-04-10,7126.02001953125
2025-04-11,7104.7998046875
2025-04-14,7273.1201171875
2025-04-15,7335.39990234375
2025-04-16,7329.97021484375
2025-04-17,7285.85986328125
2025-04-22,7326.47021484375
2025-04-23,7482.35986328125
2025-04-24,7502.77978515625
2025-04-25,7536.259765625
2025-04-28,7573.759765625
2025-04-29,7555.8701171875
2025-04-30,7593.8701171875
2025-05-02,7770.47998046875
2025-05-05,7727.93017578125
2025-05-06,7696.919921875
2025-05-07,7626.83984375
2025-05-08,7694.43994140625
2025-05-09,7743.75
2025-05-12,7850.10009765625
2025-05-13,7873.830078125
2025-05-14,7836.7900390625
2025-05-15,7853.47021484375
2025-05-16,7886.68994140625
2025-05-19,7883.6298828125
2025-05-20,7942.419921875
2025-05-21,7910.490234375
2025-05-22,7864.43994140625
2025-05-23,7734.39990234375
2025-05-26,7828.1298828125
2025-05-27,7826.7900390625
2025-05-28,7788.10009765625
2025-05-29,7779.72021484375
2025-05-30,7751.89013671875
2025-06-02,7737.2001953125
2025-06-03,7763.83984375
2025-06-04,7804.669921875
2025-06-05,7790.27001953125
2025-06-06,7804.8701171875
2025-06-09,7791.47021484375
2025-06-10,7804.330078125
2025-06-11,7775.89990234375
2025-06-12,7765.10986328125
2025-06-13,7684.68017578125
2025-06-16,7742.240234375
2025-06-17,7683.72998046875
2025-06-18,7656.1201171875
2025-06-19,7553.4501953125
2025-06-20,7589.66015625
2025-06-23,7537.56982421875
2025-06-24,7615.990234375
2025-06-25,7558.16015625
2025-06-26,7557.31005859375
2025-06-27,7691.5498046875
2025-06-30,7665.91015625
2025-07-01,7662.58984375
2025-07-02,7738.419921875
2025-07-03,7754.5498046875
2025-07-04,7696.27001953125
2025-07-07,7723.47021484375
2025-07-08,7766.7099609375
2025-07-09,7878.4599609375
2025-07-10,7902.25
2025-07-11,7829.2900390625
2025-07-14,7808.169921875
2025-07-15,7766.2099609375
2025-07-16,7722.08984375
2025-07-17,7822.0
2025-07-18,7822.669921875
2025-07-21,7798.22021484375
2025-07-22,7744.41015625
2025-07-23,7850.43017578125
2025-07-24,7818.27978515625
2025-07-25,7834.580078125
2025-07-28,7800.8798828125
2025-07-29,7857.35986328125
2025-07-30,7861.9599609375
2025-07-31,7771.97021484375
2025-08-01,7546.16015625
2025-08-04,7632.009765625
2025-08-05,7621.0400390625
2025-08-06,7635.02978515625
2025-08-07,7709.31982421875
2025-08-08,7743.0
2025-08-11,7698.52001953125
2025-08-12,7753.419921875
2025-08-13,7804.97021484375
2025-08-14,7870.33984375
2025-08-15,7923.4501953125
2025-08-18,7884.0498046875
2025-08-19,7979.080078125
2025-08-20,7973.02978515625
2025-08-21,7938.2900390625
2025-08-22,7969.68994140625
2025-08-25,7843.0400390625
2025-08-26,7709.81005859375
2025-08-27,7743.93017578125
2025-08-28,7762.60009765625
2025-08-29,7703.89990234375
2025-09-01,7707.89990234375
2025-09-02,7654.25
2025-09-03,7719.7099609375
2025-09-04,7698.919921875
2025-09-05,7674.77978515625
2025-09-08,7734.83984375
2025-09-09,7749.39013671875
2025-09-10,7761.31982421875
2025-09-11,7823.52001953125
2025-09-12,7825.240234375
2025-09-15,7896.93017578125
2025-09-16,7818.22021484375
2025-09-17,7786.97998046875
2025-09-18,7854.60986328125
2025-09-19,7853.58984375
2025-09-22,7830.10986328125
2025-09-23,7872.02001953125
2025-09-24,7827.4501953125
2025-09-25,7795.419921875
2025-09-26,7870.68017578125
2025-09-29,7880.8701171875
2025-09-30,7895.93994140625
2025-10-01,7966.9501953125
2025-10-02,8056.6298828125
2025-10-03,8081.5400390625
2025-10-06,7971.77978515625
2025-10-07,7974.85009765625
2025-10-08,8060.1298828125
2025-10-09,8041.35986328125
2025-10-10,7918.0
2025-10-13,7934.259765625
2025-10-14,7919.6201171875
2025-10-15,8077.0
2025-10-16,8188.58984375
2025-10-17,8174.2001953125
2025-10-20,8206.0703125
2025-10-21,8258.8603515625
2025-10-22,8206.8701171875
2025-10-23,8225.7802734375
2025-10-24,8225.6298828125
2025-10-27,8239.1796875
2025-10-28,8216.580078125
2025-10-29,8200.8798828125
2025-10-30,8157.2900390625
2025-10-31,8121.06982421875
2025-11-03,8109.7900390625
2025-11-04,8067.52978515625
2025-11-05,8074.22998046875
2025-11-06,7964.77001953125
2025-11-07,7950.18017578125
2025-11-10,8055.509765625
2025-11-11,8156.22998046875
2025-11-12,8241.240234375
2025-11-13,8232.490234375
2025-11-14,8170.08984375
2025-11-17,8119.02001953125
2025-11-18,7967.93017578125
2025-11-19,7953.77001953125
2025-11-20,7981.06982421875
2025-11-21,7982.64990234375
2025-11-24,7959.669921875
